,industrial_count,retail_count,popden12,entertainment_count,ID,education_count,food_count,healthcare_count,resi_count,transport_count,green_count,commercials_count,geometry,cluster_cat
0,0.0,0.0,1.45232,0.0,1,0.0,0.0,0.0,0.0,0.0,20.0,0.0,"POLYGON ((16.38606508122363 48.32430225677731, 16.386060692287522 48.319805737979394, 16.392802567748795 48.319802613542414, 16.39280754925428 48.324299131837556, 16.38606508122363 48.32430225677731))",4
1,0.0,0.0,1.45232,0.0,2,0.0,0.0,0.0,0.0,0.0,22.0,0.0,"POLYGON ((16.39280754925428 48.324299131837556, 16.392802567748795 48.319802613542414, 16.399544441968157 48.31979909393734, 16.399550016042625 48.324295611667715, 16.39280754925428 48.324299131837556))",4
2,0.0,0.0,1.45232,0.0,3,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"POLYGON ((16.399550016042625 48.324295611667715, 16.399544441968157 48.31979909393734, 16.40628631480006 48.319795179164466, 16.40629248144308 48.324291696268006, 16.399550016042625 48.324295611667715))",4
3,0.0,0.0,1.45232,0.0,4,0.0,0.0,0.0,0.0,2.0,1.0,0.0,"POLYGON ((16.40629248144308 48.324291696268006, 16.40628631480006 48.319795179164466, 16.41302818609896 48.31979086922396, 16.413034945310063 48.324287385638605, 16.40629248144308 48.324291696268006))",7
4,0.0,0.0,1.45232,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.413034945310063 48.324287385638605, 16.41302818609896 48.31979086922396, 16.41977005571931 48.319786164116046, 16.419777407497964 48.32428267977979, 16.413034945310063 48.324287385638605))",7
5,0.0,0.0,1.45232,0.0,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.419777407497964 48.32428267977979, 16.41977005571931 48.319786164116046, 16.426511923515562 48.31978106384097, 16.426519867861206 48.32427757869177, 16.419777407497964 48.32428267977979))",7
6,0.0,0.0,1.45232,0.0,7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"POLYGON ((16.426519867861206 48.32427757869177, 16.426511923515562 48.31978106384097, 16.433253789342192 48.319775568399045, 16.43326232625419 48.32427208237487, 16.426519867861206 48.32427757869177))",7
7,0.0,0.0,1.45232,0.0,8,0.0,0.0,0.0,0.0,0.0,19.0,0.0,"POLYGON ((16.379318815729885 48.31980846724818, 16.37931502031431 48.31531194447964, 16.386056304447777 48.31530921565149, 16.386060692287522 48.319805737979394, 16.379318815729885 48.31980846724818))",4
8,0.0,0.0,1.45232,0.0,9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"POLYGON ((16.386060692287522 48.319805737979394, 16.386056304447777 48.31530921565149, 16.392797587485216 48.315306091717154, 16.392802567748795 48.319802613542414, 16.386060692287522 48.319805737979394))",7
9,0.0,0.0,1.45232,0.0,10,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"POLYGON ((16.392802567748795 48.319802613542414, 16.392797587485216 48.315306091717154, 16.399538869281127 48.31530257267681, 16.399544441968157 48.31979909393734, 16.392802567748795 48.319802613542414))",7
10,0.0,0.0,1.45232,0.0,11,0.0,0.0,0.0,0.0,4.0,6.0,0.0,"POLYGON ((16.399544441968157 48.31979909393734, 16.399538869281127 48.31530257267681, 16.406280149690016 48.31529865853065, 16.40628631480006 48.319795179164466, 16.399544441968157 48.31979909393734))",7
11,0.0,0.0,1.45232,0.0,12,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"POLYGON ((16.40628631480006 48.319795179164466, 16.406280149690016 48.31529865853065, 16.41302142856639 48.315294349278886, 16.41302818609896 48.31979086922396, 16.40628631480006 48.319795179164466))",7
12,0.0,0.0,1.45232,0.0,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.41302818609896 48.31979086922396, 16.41302142856639 48.315294349278886, 16.419762705764725 48.31528964492175, 16.41977005571931 48.319786164116046, 16.41302818609896 48.31979086922396))",7
13,0.0,0.0,1.45232,0.0,14,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"POLYGON ((16.41977005571931 48.319786164116046, 16.419762705764725 48.31528964492175, 16.42650398113955 48.31528454545949, 16.426511923515562 48.31978106384097, 16.41977005571931 48.319786164116046))",7
14,0.0,0.0,1.45232,0.0,15,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"POLYGON ((16.426511923515562 48.31978106384097, 16.42650398113955 48.31528454545949, 16.433245254545348 48.3152790508924, 16.433253789342192 48.319775568399045, 16.426511923515562 48.31978106384097))",4
15,0.0,0.0,1.45232,0.0,16,0.0,0.0,0.0,11.0,4.0,13.0,0.0,"POLYGON ((16.433253789342192 48.319775568399045, 16.433245254545348 48.3152790508924, 16.43998652583664 48.31527316122076, 16.439995653053636 48.31976967779056, 16.433253789342192 48.319775568399045))",7
16,0.0,0.0,1.45232,0.0,17,0.0,1.0,0.0,0.0,2.0,6.0,0.0,"POLYGON ((16.37931502031431 48.31531194447964, 16.379311225849232 48.31081541818109, 16.386051917704027 48.31081268979352, 16.386056304447777 48.31530921565149, 16.37931502031431 48.31531194447964))",7
17,0.0,0.0,1.45232,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.386056304447777 48.31530921565149, 16.386051917704027 48.31081268979352, 16.392792608463132 48.31080956636175, 16.392797587485216 48.315306091717154, 16.386056304447777 48.31530921565149))",7
18,0.0,0.0,1.45232,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392797587485216 48.315306091717154, 16.392792608463132 48.31080956636175, 16.399533297981097 48.31080604788601, 16.399538869281127 48.31530257267681, 16.392797587485216 48.315306091717154))",7
19,0.0,0.0,1.45232,0.0,20,0.0,1.0,0.0,0.0,4.0,4.0,0.0,"POLYGON ((16.399538869281127 48.31530257267681, 16.399533297981097 48.31080604788601, 16.406273986112474 48.31080213436647, 16.406280149690016 48.31529865853065, 16.399538869281127 48.31530257267681))",7
20,0.0,0.0,1.45232,0.0,21,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"POLYGON ((16.406280149690016 48.31529865853065, 16.406273986112474 48.31080213436647, 16.413014672711803 48.310797825803334, 16.41302142856639 48.315294349278886, 16.406280149690016 48.31529865853065))",7
21,0.0,0.0,1.45232,0.0,22,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"POLYGON ((16.41302142856639 48.315294349278886, 16.413014672711803 48.310797825803334, 16.419755357633644 48.31079312219687, 16.419762705764725 48.31528964492175, 16.41302142856639 48.315294349278886))",7
22,0.0,0.0,1.45232,0.0,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.419762705764725 48.31528964492175, 16.419755357633644 48.31079312219687, 16.42649604073252 48.31078802354726, 16.42650398113955 48.31528454545949, 16.419762705764725 48.31528964492175))",7
23,1.0,0.0,1.45232,0.0,24,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"POLYGON ((16.42650398113955 48.31528454545949, 16.42649604073252 48.31078802354726, 16.433236721863004 48.31078252985485, 16.433245254545348 48.3152790508924, 16.42650398113955 48.31528454545949))",7
24,0.0,0.0,1.45232,0.0,25,0.0,0.0,0.0,0.0,0.0,18.0,0.0,"POLYGON ((16.433245254545348 48.3152790508924, 16.433236721863004 48.31078252985485, 16.439977400879624 48.31077664111992, 16.43998652583664 48.31527316122076, 16.433245254545348 48.3152790508924))",4
25,0.0,0.0,1.45232,0.0,26,0.0,0.0,0.0,0.0,0.0,11.0,0.0,"POLYGON ((16.379311225849232 48.31081541818109, 16.379307432334375 48.30631888835249, 16.386047532055944 48.306316160405395, 16.386051917704027 48.31081268979352, 16.379311225849232 48.31081541818109))",7
26,0.0,0.0,1.45232,0.0,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.386051917704027 48.31081268979352, 16.386047532055944 48.306316160405395, 16.392787630682168 48.30631303747616, 16.392792608463132 48.31080956636175, 16.386051917704027 48.31081268979352))",7
27,0.0,0.0,1.45232,0.0,28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.392792608463132 48.31080956636175, 16.392787630682168 48.30631303747616, 16.39952772806765 48.30630951956491, 16.399533297981097 48.31080604788601, 16.392792608463132 48.31080956636175))",7
28,0.0,0.0,1.45232,0.0,29,0.0,6.0,0.0,1.0,4.0,0.0,0.0,"POLYGON ((16.399533297981097 48.31080604788601, 16.39952772806765 48.30630951956491, 16.406267824066962 48.30630560667189, 16.406273986112474 48.31080213436647, 16.399533297981097 48.31080604788601))",7
29,0.0,0.0,1.45232,0.0,30,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.406273986112474 48.31080213436647, 16.406267824066962 48.30630560667189, 16.413007918534706 48.30630129879726, 16.413014672711803 48.310797825803334, 16.406273986112474 48.31080213436647))",7
30,0.0,0.0,1.45232,0.0,31,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.413014672711803 48.310797825803334, 16.413007918534706 48.30630129879726, 16.419748011325485 48.30629659594127, 16.419755357633644 48.31079312219687, 16.413014672711803 48.310797825803334))",7
31,0.0,0.0,1.45232,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.419755357633644 48.31079312219687, 16.419748011325485 48.30629659594127, 16.426488102293884 48.30629149810423, 16.42649604073252 48.31078802354726, 16.419755357633644 48.31079312219687))",7
32,0.0,0.0,1.45232,0.0,33,0.0,0.0,0.0,0.0,4.0,3.0,0.0,"POLYGON ((16.42649604073252 48.31078802354726, 16.426488102293884 48.30629149810423, 16.43322819129449 48.306286005286346, 16.433236721863004 48.31078252985485, 16.42649604073252 48.31078802354726))",7
33,0.0,0.0,1.45232,0.0,34,0.0,0.0,0.0,0.0,0.0,17.0,0.0,"POLYGON ((16.433236721863004 48.31078252985485, 16.43322819129449 48.306286005286346, 16.4399682781819 48.30628011748795, 16.439977400879624 48.31077664111992, 16.433236721863004 48.31078252985485))",4
34,0.0,0.0,1.45232,0.0,35,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"POLYGON ((16.379307432334375 48.30631888835249, 16.379303639769432 48.30182235499379, 16.386043147503187 48.30181962748711, 16.386047532055944 48.306316160405395, 16.379307432334375 48.30631888835249))",7
