,cluster,bench_count,atm_count,cafe_count,bicycle_parking_count,fountain_count,fast_food_count,shelter_count,vending_machine_count,waste_basket_count,recycling_count,drinking_water_count,toilet_count
0,0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0
1,1,17.0,1.0,3.0,13.0,0.0,2.0,1.0,3.0,16.0,4.0,2.0,1.0
2,2,16.0,2.0,4.0,17.0,1.0,3.0,1.0,3.0,12.0,4.0,2.0,1.0
3,3,6.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0
4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,8.0,1.0,2.0,6.0,0.0,1.0,1.0,2.0,10.0,4.0,1.0,0.0
6,6,7.0,1.0,3.0,12.0,0.0,3.0,0.0,3.0,9.0,5.0,2.0,0.0
7,7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
8,8,18.0,1.0,5.0,21.0,0.0,3.0,1.0,3.0,15.0,5.0,2.0,1.0
9,9,13.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,9.0,3.0,1.0,0.0
