cluster_cat,industrial_count,retail_count,entertainment_count,education_count,food_count,healthcare_count,resi_count,transport_count,green_count,commercials_count
0,245.0,42.0,38.0,156.0,455.0,161.0,3044.0,1779.0,2133.0,263.0
1,25.0,21.0,58.0,152.0,1009.0,375.0,1380.0,802.0,234.0,135.0
2,1.0,2.0,14.0,62.0,251.0,64.0,1819.0,99.0,52.0,20.0
3,238.0,96.0,55.0,258.0,829.0,245.0,2745.0,1381.0,994.0,204.0
4,58.0,0.0,0.0,11.0,22.0,8.0,463.0,398.0,13205.0,1.0
5,66.0,27.0,47.0,171.0,848.0,303.0,1945.0,813.0,336.0,134.0
6,2.0,0.0,8.0,19.0,141.0,44.0,292.0,122.0,35.0,9.0
7,1145.0,67.0,18.0,92.0,336.0,88.0,1655.0,1615.0,2336.0,255.0
8,9.0,11.0,84.0,159.0,1205.0,256.0,1373.0,536.0,141.0,118.0
9,18.0,6.0,11.0,95.0,224.0,60.0,2781.0,270.0,149.0,58.0
